Well number,Patient,Condition
A1,1,no GAA
B1,1,no GAA
C1,1,no GAA
D1,1,no GAA
E1,1,no GAA
F1,1,no GAA
G1,1,no GAA
H1,1,no GAA
I1,1,no GAA
J1,1,no GAA
K1,1,no GAA
L1,1,no GAA
M1,1,no GAA
N1,1,no GAA
O1,1,no GAA
A2,1,no GAA
B2,1,no GAA
C2,1,no GAA
D2,1,no GAA
E2,1,no GAA
F2,1,no GAA
G2,1,no GAA
H2,1,no GAA
I2,1,no GAA
J2,1,no GAA
K2,1,no GAA
L2,1,no GAA
M2,1,no GAA
N2,1,no GAA
O2,1,no GAA
P2,1,no GAA
A3,1,no GAA
B3,1,no GAA
C3,1,no GAA
D3,1,no GAA
E3,1,no GAA
F3,1,no GAA
G3,1,no GAA
H3,1,no GAA
I3,1,no GAA
J3,1,no GAA
K3,1,no GAA
L3,1,no GAA
M3,1,no GAA
N3,1,no GAA
O3,1,no GAA
P3,1,no GAA
A4,1,with GAA
B4,1,with GAA
C4,1,with GAA
D4,1,with GAA
E4,1,with GAA
F4,1,with GAA
G4,1,with GAA
H4,1,with GAA
I4,1,with GAA
J4,1,with GAA
K4,1,with GAA
L4,1,with GAA
M4,1,with GAA
N4,1,with GAA
O4,1,with GAA
A5,1,with GAA
B5,1,with GAA
C5,1,with GAA
D5,1,with GAA
E5,1,with GAA
F5,1,with GAA
G5,1,with GAA
H5,1,with GAA
I5,1,with GAA
J5,1,with GAA
K5,1,with GAA
L5,1,with GAA
M5,1,with GAA
N5,1,with GAA
O5,1,with GAA
P5,1,with GAA
A6,1,with GAA
B6,1,with GAA
C6,1,with GAA
D6,1,with GAA
E6,1,with GAA
F6,1,with GAA
G6,1,with GAA
H6,1,with GAA
I6,1,with GAA
J6,1,with GAA
K6,1,with GAA
L6,1,with GAA
M6,1,with GAA
N6,1,with GAA
O6,1,with GAA
P6,1,with GAA
A7,2,no GAA
B7,2,no GAA
C7,2,no GAA
D7,2,no GAA
E7,2,no GAA
F7,2,no GAA
G7,2,no GAA
H7,2,no GAA
I7,2,no GAA
J7,2,no GAA
K7,2,no GAA
L7,2,no GAA
M7,2,no GAA
N7,2,no GAA
O7,2,no GAA
A8,2,no GAA
B8,2,no GAA
C8,2,no GAA
D8,2,no GAA
E8,2,no GAA
F8,2,no GAA
G8,2,no GAA
H8,2,no GAA
I8,2,no GAA
J8,2,no GAA
K8,2,no GAA
L8,2,no GAA
M8,2,no GAA
N8,2,no GAA
O8,2,no GAA
P8,2,no GAA
A9,2,no GAA
B9,2,no GAA
C9,2,no GAA
D9,2,no GAA
E9,2,no GAA
F9,2,no GAA
G9,2,no GAA
H9,2,no GAA
I9,2,no GAA
J9,2,no GAA
K9,2,no GAA
L9,2,no GAA
M9,2,no GAA
N9,2,no GAA
O9,2,no GAA
P9,2,no GAA
A10,2,with GAA
B10,2,with GAA
C10,2,with GAA
D10,2,with GAA
E10,2,with GAA
F10,2,with GAA
G10,2,with GAA
H10,2,with GAA
I10,2,with GAA
J10,2,with GAA
K10,2,with GAA
L10,2,with GAA
M10,2,with GAA
N10,2,with GAA
O10,2,with GAA
A11,2,with GAA
B11,2,with GAA
C11,2,with GAA
D11,2,with GAA
E11,2,with GAA
F11,2,with GAA
G11,2,with GAA
H11,2,with GAA
I11,2,with GAA
J11,2,with GAA
K11,2,with GAA
L11,2,with GAA
M11,2,with GAA
N11,2,with GAA
O11,2,with GAA
P11,2,with GAA
A12,2,with GAA
B12,2,with GAA
C12,2,with GAA
D12,2,with GAA
E12,2,with GAA
F12,2,with GAA
G12,2,with GAA
H12,2,with GAA
I12,2,with GAA
J12,2,with GAA
K12,2,with GAA
L12,2,with GAA
M12,2,with GAA
N12,2,with GAA
O12,2,with GAA
P12,2,with GAA
A13,3,no GAA
B13,3,no GAA
C13,3,no GAA
D13,3,no GAA
E13,3,no GAA
F13,3,no GAA
G13,3,no GAA
H13,3,no GAA
I13,3,no GAA
J13,3,no GAA
K13,3,no GAA
L13,3,no GAA
M13,3,no GAA
N13,3,no GAA
O13,3,no GAA
A14,3,no GAA
B14,3,no GAA
C14,3,no GAA
D14,3,no GAA
E14,3,no GAA
F14,3,no GAA
G14,3,no GAA
H14,3,no GAA
I14,3,no GAA
J14,3,no GAA
K14,3,no GAA
L14,3,no GAA
M14,3,no GAA
N14,3,no GAA
O14,3,no GAA
P14,3,no GAA
A15,3,no GAA
B15,3,no GAA
C15,3,no GAA
D15,3,no GAA
E15,3,no GAA
F15,3,no GAA
G15,3,no GAA
H15,3,no GAA
I15,3,no GAA
J15,3,no GAA
K15,3,no GAA
L15,3,no GAA
M15,3,no GAA
N15,3,no GAA
O15,3,no GAA
P15,3,no GAA
A16,3,with GAA
B16,3,with GAA
C16,3,with GAA
D16,3,with GAA
E16,3,with GAA
F16,3,with GAA
G16,3,with GAA
H16,3,with GAA
I16,3,with GAA
J16,3,with GAA
K16,3,with GAA
L16,3,with GAA
M16,3,with GAA
N16,3,with GAA
O16,3,with GAA
A17,3,with GAA
B17,3,with GAA
C17,3,with GAA
D17,3,with GAA
E17,3,with GAA
F17,3,with GAA
G17,3,with GAA
H17,3,with GAA
I17,3,with GAA
J17,3,with GAA
K17,3,with GAA
L17,3,with GAA
M17,3,with GAA
N17,3,with GAA
O17,3,with GAA
P17,3,with GAA
A18,3,with GAA
B18,3,with GAA
C18,3,with GAA
D18,3,with GAA
E18,3,with GAA
F18,3,with GAA
G18,3,with GAA
H18,3,with GAA
I18,3,with GAA
J18,3,with GAA
K18,3,with GAA
L18,3,with GAA
M18,3,with GAA
N18,3,with GAA
O18,3,with GAA
P18,3,with GAA