Well number,Condition,Sample
A1,disease,P1
B1,disease,P1
C1,disease,P1
D1,disease,P1
E1,disease,P1
F1,disease,P1
G1,disease,P1
H1,disease,P1
I1,disease,P1
J1,disease,P1
K1,disease,P1
L1,disease,P1
M1,disease,P1
N1,disease,P1
O1,disease,P1
A2,disease,P1
B2,disease,P1
C2,disease,P1
D2,disease,P1
E2,disease,P1
F2,disease,P1
G2,disease,P1
H2,disease,P1
I2,disease,P1
J2,disease,P1
K2,disease,P1
L2,disease,P1
M2,disease,P1
N2,disease,P1
O2,disease,P1
P2,disease,P1
A3,disease,P1
B3,disease,P1
C3,disease,P1
D3,disease,P1
E3,disease,P1
F3,disease,P1
G3,disease,P1
H3,disease,P1
I3,disease,P1
J3,disease,P1
K3,disease,P1
L3,disease,P1
M3,disease,P1
N3,disease,P1
O3,disease,P1
P3,disease,P1
A7,disease,P2
B7,disease,P2
C7,disease,P2
D7,disease,P2
E7,disease,P2
F7,disease,P2
G7,disease,P2
H7,disease,P2
I7,disease,P2
J7,disease,P2
K7,disease,P2
L7,disease,P2
M7,disease,P2
N7,disease,P2
O7,disease,P2
A8,disease,P2
B8,disease,P2
C8,disease,P2
D8,disease,P2
E8,disease,P2
F8,disease,P2
G8,disease,P2
H8,disease,P2
I8,disease,P2
J8,disease,P2
K8,disease,P2
L8,disease,P2
M8,disease,P2
N8,disease,P2
O8,disease,P2
P8,disease,P2
A9,disease,P2
B9,disease,P2
C9,disease,P2
D9,disease,P2
E9,disease,P2
F9,disease,P2
G9,disease,P2
H9,disease,P2
I9,disease,P2
J9,disease,P2
K9,disease,P2
L9,disease,P2
M9,disease,P2
N9,disease,P2
O9,disease,P2
P9,disease,P2
A13,disease,P3
B13,disease,P3
C13,disease,P3
D13,disease,P3
E13,disease,P3
F13,disease,P3
G13,disease,P3
H13,disease,P3
I13,disease,P3
J13,disease,P3
K13,disease,P3
L13,disease,P3
M13,disease,P3
N13,disease,P3
O13,disease,P3
A14,disease,P3
B14,disease,P3
C14,disease,P3
D14,disease,P3
E14,disease,P3
F14,disease,P3
G14,disease,P3
H14,disease,P3
I14,disease,P3
J14,disease,P3
K14,disease,P3
L14,disease,P3
M14,disease,P3
N14,disease,P3
O14,disease,P3
P14,disease,P3
A15,disease,P3
B15,disease,P3
C15,disease,P3
D15,disease,P3
E15,disease,P3
F15,disease,P3
G15,disease,P3
H15,disease,P3
I15,disease,P3
J15,disease,P3
K15,disease,P3
L15,disease,P3
M15,disease,P3
N15,disease,P3
O15,disease,P3
P15,disease,P3
SRR1810679,no disease,GSE66053
SRR1810680,no disease,GSE66053
SRR1810681,no disease,GSE66053
SRR1810682,no disease,GSE66053
SRR1810683,no disease,GSE66053
SRR1810684,no disease,GSE66053
SRR1810685,no disease,GSE66053
SRR1810686,no disease,GSE66053
SRR1810687,no disease,GSE66053
SRR1810688,no disease,GSE66053
SRR1810689,no disease,GSE66053
SRR1810690,no disease,GSE66053
SRR1810691,no disease,GSE66053
SRR1810692,no disease,GSE66053
SRR1810693,no disease,GSE66053
SRR1810694,no disease,GSE66053
SRR1810695,no disease,GSE66053
SRR1810696,no disease,GSE66053
SRR1810697,no disease,GSE66053
SRR1810698,no disease,GSE66053
SRR1810699,no disease,GSE66053
SRR1810700,no disease,GSE66053
SRR1810701,no disease,GSE66053
SRR1810702,no disease,GSE66053
SRR1810703,no disease,GSE66053
SRR1810704,no disease,GSE66053
SRR1810705,no disease,GSE66053
SRR1810706,no disease,GSE66053
SRR1810707,no disease,GSE66053
SRR1810708,no disease,GSE66053
SRR1810709,no disease,GSE66053
SRR1810710,no disease,GSE66053
SRR1810711,no disease,GSE66053
SRR1810712,no disease,GSE66053
SRR1810713,no disease,GSE66053
SRR1810714,no disease,GSE66053
SRR1810715,no disease,GSE66053
SRR1810716,no disease,GSE66053
SRR1810717,no disease,GSE66053
SRR1810718,no disease,GSE66053
SRR1810719,no disease,GSE66053
SRR1810720,no disease,GSE66053
SRR1810721,no disease,GSE66053
SRR1810722,no disease,GSE66053
SRR1810723,no disease,GSE66053
SRR1810724,no disease,GSE66053
SRR1810725,no disease,GSE66053
SRR1810726,no disease,GSE66053
SRR1810727,no disease,GSE66053
SRR1810728,no disease,GSE66053
SRR1810729,no disease,GSE66053
SRR1810730,no disease,GSE66053
SRR1810731,no disease,GSE66053
SRR1810732,no disease,GSE66053
SRR1810733,no disease,GSE66053
SRR1810734,no disease,GSE66053
SRR1810735,no disease,GSE66053
SRR1810736,no disease,GSE66053
SRR1810737,no disease,GSE66053
SRR1810738,no disease,GSE66053
SRR1810739,no disease,GSE66053
SRR1810740,no disease,GSE66053
SRR1810741,no disease,GSE66053
SRR1810742,no disease,GSE66053
SRR1810743,no disease,GSE66053
SRR1810744,no disease,GSE66053
SRR1810745,no disease,GSE66053
SRR1810746,no disease,GSE66053
SRR1810747,no disease,GSE66053
SRR1810748,no disease,GSE66053
SRR1810749,no disease,GSE66053
SRR1810750,no disease,GSE66053
SRR1810751,no disease,GSE66053
SRR1810752,no disease,GSE66053